name,price,date,rating
石家庄,7307,2011,-1.92
西安,7184,2011,+0.38
昆山,7153,2011,-1
呼和浩特,7044,2011,-0.01
徐州,6885,2011,+0.76
嘉兴,6872,2011,+1.48
镇江,6860,2011,+0.18
长沙,6781,2011,-1.35
长春,6691,2011,-9.56
重庆,6583,2011,-1.11
郑州,6566,2011,-0.92
东莞,6525,2011,-1.41
合肥,6516,2011,-1.03
威海,4973,2011,+2.94
潍坊,5000,2011,0.0
桂林,5314,2011,+0.7
绵阳,5382,2011,-0.3
中山,5476,2011,-4.45
贵阳,5487,2011,+0.33
洛阳,5498,2011,-0.04
惠州,5534,2011,-1.07
吉林,5558,2011,-0.63
保定,5571,2011,-0.23
宜昌,5899,2011,-5.75
银川,5934,2011,+0.22
邯郸,6107,2011,+0.08
佛山,6176,2011,+0.68
合肥,6516,2011,-1.03
东莞,6525,2011,-1.41
郑州,6566,2011,-0.92
重庆,6583,2011,-1.11
长春,6691,2011,-9.56
长沙,6781,2011,-1.35
镇江,6860,2011,+0.18
嘉兴,6872,2011,+1.48
徐州,6885,2011,+0.76
呼和浩特,7044,2011,-0.01
昆山,7153,2011,-1
西安,7184,2011,+0.38
石家庄,7307,2011,-1.92
